NAME,B19049_001E_Median_household_income_in_the_past_12_months_(in_2017_inflation-adjusted_dollars)_--_Total,B19049_002E_Median_household_income_in_the_past_12_months_(in_2017_inflation-adjusted_dollars)_--_Householder_under_25_years,B19049_003E_Median_household_income_in_the_past_12_months_(in_2017_inflation-adjusted_dollars)_--_Householder_25_to_44_years,B19049_004E_Median_household_income_in_the_past_12_months_(in_2017_inflation-adjusted_dollars)_--_Householder_45_to_64_years,B19049_005E_Median_household_income_in_the_past_12_months_(in_2017_inflation-adjusted_dollars)_--_Householder_65_years_and_over,state,county,tract
Census Tract 1202.02,36552,11607,41686,-666666666,-666666666,24,510,120202
Census Tract 2720.04,38125,32083,49306,70795,28003,24,510,272004
Census Tract 2720.05,60250,2499,67955,120139,42829,24,510,272005
Census Tract 2720.06,30304,-666666666,67558,30446,19375,24,510,272006
Census Tract 2720.07,40455,21250,34219,51953,29875,24,510,272007
Census Tract 2606.04,22027,-666666666,13892,35341,22708,24,510,260604
Census Tract 2702,68036,-666666666,71328,68162,63750,24,510,270200
Census Tract 401,61754,46500,60852,91500,-666666666,24,510,40100
Census Tract 402,56250,30469,69750,-666666666,-666666666,24,510,40200
Census Tract 602,66371,-666666666,100119,36667,-666666666,24,510,60200
Census Tract 905,42347,-666666666,40000,47955,46719,24,510,90500
Census Tract 908,34185,-666666666,-666666666,33056,36354,24,510,90800
Census Tract 1201,62266,-666666666,43393,124141,89338,24,510,120100
Census Tract 1507.01,45357,-666666666,-666666666,48456,43125,24,510,150701
Census Tract 1503,38617,-666666666,39286,38000,38333,24,510,150300
Census Tract 1507.02,40529,-666666666,35192,53875,30625,24,510,150702
Census Tract 1511,46389,-666666666,34338,56182,45521,24,510,151100
Census Tract 1513,26538,-666666666,23214,23125,31750,24,510,151300
Census Tract 2709.01,51355,21555,62596,53577,37120,24,510,270901
Census Tract 2714,119167,-666666666,109773,200341,110536,24,510,271400
Census Tract 2716,28161,-666666666,27143,-666666666,25476,24,510,271600
Census Tract 2803.02,42005,23750,41739,38846,46563,24,510,280302
