time_start,time_end,geometry,satellite
2023-09-08,2023-09-08,"POLYGON ((30.30359 58.32531, 18.68822 74.48524, 26.98956 75.10869, 34.56465 58.73656, 30.30359 58.32531))",Sentinel 1
2023-09-08,2023-09-08,"POLYGON ((-133.34187 69.88611, -135.08071 67.63122, -139.55651 59.48731, -143.9633 59.90364, -140.95089 68.11329, -139.83067 70.40129, -133.34187 69.88611))",Sentinel 1
2023-09-08,2023-09-08,"POLYGON ((28.91526 -35.0951, 26.81043 -28.32393, 25.4855 -23.55722, 27.87605 -22.99146, 29.29168 -27.73216, 31.56837 -34.45829, 28.91526 -35.0951))",Sentinel 1
2023-09-08,2023-09-08,"POLYGON ((13.6523 30.22689, 10.30868 44.03362, 3.98953 61.93258, 0.0639 68.43399, 6.13927 68.92681, 8.74384 62.36242, 13.41742 44.42326, 16.23272 30.63074, 13.6523 30.22689))",Sentinel 1
2023-09-08,2023-09-08,"POLYGON ((-158.43632 69.39214, -162.4671 63.19056, -164.31866 59.31171, -168.70272 59.72722, -167.42615 63.62904, -164.778 69.89924, -158.43632 69.39214))",Sentinel 1
2023-09-08,2023-09-08,"POLYGON ((-166.70645 53.07047, -167.03786 52.08224, -170.67817 52.47662, -170.43002 53.46655, -166.70645 53.07047))",Sentinel 1
2023-09-08,2023-09-08,"POLYGON ((-4.98946 1.40076, -7.26943 12.40398, -10.34259 27.07774, -7.84015 27.48709, -4.99571 12.84542, -2.77475 1.87199, -4.98946 1.40076))",Sentinel 1
2023-09-08,2023-09-08,"POLYGON ((-10.8886 29.57352, -11.09972 30.52482, -14.59596 44.83821, -11.44377 45.22774, -8.51127 30.92819, -8.32538 29.97847, -10.8886 29.57352))",Sentinel 1
2023-09-08,2023-09-08,"POLYGON ((-18.94241 58.02101, -23.19704 66.38295, -23.70702 67.15281, -17.95249 67.62901, -17.61838 66.85034, -14.71763 58.43105, -18.94241 58.02101))",Sentinel 1
2023-09-08,2023-09-08,"POLYGON ((174.97746 66.79716, 170.99051 59.29992, 166.60797 59.71537, 169.30546 67.26916, 174.97746 66.79716))",Sentinel 1
2023-09-08,2023-09-08,"POLYGON ((151.73716 -19.60206, 148.4189 -31.55983, 145.27475 -40.67583, 142.43307 -39.99194, 145.86258 -30.94798, 149.40593 -19.05525, 151.73716 -19.60206))",Sentinel 1
2023-09-08,2023-09-08,"POLYGON ((142.79573 49.58522, 141.09419 43.63544, 138.00618 44.02518, 139.34589 49.97655, 142.79573 49.58522))",Sentinel 1
2023-09-08,2023-09-08,"POLYGON ((139.74048 38.33314, 139.23791 36.24627, 138.63945 33.68486, 135.9581 34.08345, 136.47007 36.64158, 136.89373 38.72623, 139.74048 38.33314))",Sentinel 1
2023-09-08,2023-09-08,"POLYGON ((131.77019 1.18903, 131.52018 0.00428, 127.42646 -18.09891, 126.58302 -21.43748, 124.22602 -20.88216, 125.11424 -17.55876, 129.30711 0.47964, 129.55586 1.66086, 131.77019 1.18903))",Sentinel 1
2023-09-08,2023-09-08,"POLYGON ((-54.43606 1.75845, -54.77624 3.38324, -55.40926 6.42946, -53.17803 6.88647, -52.55706 3.84873, -52.22074 2.22863, -54.43606 1.75845))",Sentinel 1
2023-09-08,2023-09-08,"POLYGON ((-56.16664 10.09982, -58.53073 21.5233, -59.07606 24.10475, -56.63662 24.51981, -56.13846 21.94368, -53.91236 10.5471, -56.16664 10.09982))",Sentinel 1
2023-09-08,2023-09-08,"POLYGON ((-61.54959 35.24835, -62.60198 39.60688, -67.67305 56.40361, -63.62948 56.80797, -59.70304 39.99885, -58.81682 35.64487, -61.54959 35.24835))",Sentinel 1
2023-09-08,2023-09-08,"POLYGON ((110.15449 16.02375, 109.81052 14.35596, 107.51719 14.79261, 107.84202 16.45643, 110.15449 16.02375))",Sentinel 1
2023-09-08,2023-09-08,"POLYGON ((-69.5666 -35.86764, -71.96212 -28.22139, -72.86808 -24.99831, -70.45246 -24.42509, -69.48307 -27.63022, -66.89016 -35.22493, -69.5666 -35.86764))",Sentinel 1
2023-09-08,2023-09-08,"POLYGON ((-74.59019 -18.37203, -76.52691 -10.18633, -79.15933 1.9373, -76.94367 2.40696, -74.28609 -9.67745, -72.27454 -17.83065, -74.59019 -18.37203))",Sentinel 1
2023-09-08,2023-09-08,"POLYGON ((-80.16649 6.77512, -80.4083 7.94547, -84.18389 26.07809, -88.46196 44.13646, -90.15552 49.99522, -86.67634 50.38696, -85.34776 44.52609, -81.70373 26.48931, -78.1687 8.3984, -77.93349 7.23118, -80.16649 6.77512))",Sentinel 1
2023-09-09,2023-09-09,"POLYGON ((90.60816 39.30428, 87.81242 27.15464, 85.67312 17.01229, 83.34824 17.44267, 85.30817 27.56386, 87.72185 39.69649, 90.60816 39.30428))",Sentinel 1
2023-09-09,2023-09-09,"POLYGON ((83.74817 7.67106, 83.334 5.66896, 81.1064 6.12804, 81.51023 8.12471, 83.74817 7.67106))",Sentinel 1
2023-09-09,2023-09-09,"POLYGON ((-106.29841 13.79389, -108.24065 23.12943, -105.81981 23.54646, -104.01103 14.23191, -106.29841 13.79389))",Sentinel 1
2023-09-09,2023-09-09,"POLYGON ((-115.64167 52.4798, -122.00507 66.48369, -124.98414 70.4224, -118.32741 70.947, -116.40406 66.95219, -111.96858 52.87485, -115.64167 52.4798))",Sentinel 1
2023-09-09,2023-09-09,"POLYGON ((67.70843 46.08092, 66.26717 40.67893, 62.55617 24.49949, 60.10887 24.91377, 63.32151 41.07009, 64.48532 46.47049, 67.70843 46.08092))",Sentinel 1
2023-09-09,2023-09-09,"POLYGON ((46.4015 56.45261, 45.54576 54.12744, 40.47059 36.1431, 37.83242 24.32098, 35.38867 24.73561, 37.70645 36.53853, 41.72762 54.52569, 42.35256 56.8571, 46.4015 56.45261))",Sentinel 1
2023-09-09,2023-09-09,"POLYGON ((35.33388 12.31824, 32.75538 -0.09937, 29.66775 -14.01649, 27.39822 -13.49321, 30.54238 0.3763, 33.06096 12.75989, 35.33388 12.31824))",Sentinel 1
2023-09-09,2023-09-09,"POLYGON ((-156.53595 17.98707, -157.29535 21.62686, -157.44127 22.32052, -155.03514 22.73922, -154.90132 22.04702, -154.19804 18.41521, -156.53595 17.98707))",Sentinel 1
2023-09-09,2023-09-09,"POLYGON ((33.35746 73.93665, 27.29287 67.43023, 19.37831 49.62148, 14.73647 31.60015, 14.66857 31.29812, 12.05865 31.70026, 12.11796 32.00181, 15.92589 50.01285, 21.47179 67.90978, 25.32537 74.54309, 33.35746 73.93665))",Sentinel 1
2023-09-09,2023-09-09,"POLYGON ((9.30394 5.79968, 7.97651 -0.53894, 5.76371 -0.06194, 7.07575 6.25841, 9.30394 5.79968))",Sentinel 1
2023-09-09,2023-09-09,"POLYGON ((-173.752 -16.66411, -174.4656 -13.67329, -172.19897 -13.15132, -171.45613 -16.13004, -173.752 -16.66411))",Sentinel 1
2023-09-09,2023-09-09,"POLYGON ((167.66918 59.41481, 166.4033 62.13552, 164.48616 65.61363, 169.90032 66.07301, 171.18933 62.56667, 172.06641 59.83082, 167.66918 59.41481))",Sentinel 1
2023-09-09,2023-09-09,"POLYGON ((0.91943 64.76768, -0.05915 62.98791, -6.6212 45.10362, -10.95288 27.0512, -11.22372 25.79558, -13.69784 26.20733, -13.45476 27.4606, -9.78825 45.49313, -4.98391 63.4249, -4.32577 65.21904, 0.91943 64.76768))",Sentinel 1
2023-09-09,2023-09-09,"POLYGON ((170.66193 -45.26034, 169.2815 -42.01489, 172.17626 -41.31782, 173.69919 -44.52799, 170.66193 -45.26034))",Sentinel 1
2023-09-09,2023-09-09,"POLYGON ((143.25961 58.77133, 139.99019 65.30049, 145.34037 65.75682, 147.5752 59.18445, 143.25961 58.77133))",Sentinel 1
2023-09-09,2023-09-09,"POLYGON ((-41.64839 -1.73011, -44.32977 -13.76299, -44.95305 -16.37857, -47.24571 -15.84574, -46.59707 -13.2407, -43.86128 -1.24946, -41.64839 -1.73011))",Sentinel 1
2023-09-09,2023-09-09,"POLYGON ((-45.94078 -20.36097, -47.62077 -26.64971, -50.06743 -26.06759, -48.28232 -19.8107, -45.94078 -20.36097))",Sentinel 1
2023-09-09,2023-09-09,"POLYGON ((136.47158 -14.97908, 135.31423 -9.98965, 137.55385 -9.48148, 138.75015 -14.45194, 136.47158 -14.97908))",Sentinel 1
2023-09-09,2023-09-09,"POLYGON ((134.60734 -6.82594, 133.34046 -0.97042, 133.23889 -0.49222, 135.45176 -0.01535, 135.55325 -0.49209, 136.83132 -6.32881, 134.60734 -6.82594))",Sentinel 1
2023-09-09,2023-09-09,"POLYGON ((125.97839 33.83737, 125.64399 35.27568, 124.87512 38.4854, 127.72785 38.87835, 128.3777 35.67217, 128.66451 34.23576, 125.97839 33.83737))",Sentinel 1
2023-09-09,2023-09-09,"POLYGON ((-61.449 21.7741, -62.2491 17.93956, -63.93386 9.76768, -66.18565 10.21581, -64.58637 18.36781, -63.84559 22.19395, -61.449 21.7741))",Sentinel 1
2023-09-09,2023-09-09,"POLYGON ((-65.5605 1.92673, -66.00942 -0.20302, -68.62108 -12.06896, -70.87465 -11.55317, -68.22237 0.27297, -67.77609 2.39641, -65.5605 1.92673))",Sentinel 1
2023-09-09,2023-09-09,"POLYGON ((-68.89138 -13.23313, -70.11028 -18.30519, -70.75663 -20.87025, -73.10536 -20.31761, -72.425 -17.76414, -71.15417 -12.71289, -68.89138 -13.23313))",Sentinel 1
2023-09-09,2023-09-09,"POLYGON ((117.49404 -35.45694, 116.53609 -32.52113, 116.22173 -31.51419, 118.77706 -30.90257, 119.11727 -31.90276, 120.15798 -34.81739, 117.49404 -35.45694))",Sentinel 1
2023-09-09,2023-09-09,"POLYGON ((110.47549 -9.31178, 109.73577 -5.98089, 111.95672 -5.4866, 112.71118 -8.80603, 110.47549 -9.31178))",Sentinel 1
2023-09-09,2023-09-09,"POLYGON ((106.46525 9.52876, 103.94005 21.73042, 101.21317 34.1816, 103.91038 34.57951, 106.33586 22.15036, 108.71532 9.97752, 106.46525 9.52876))",Sentinel 1
2023-09-09,2023-09-09,"POLYGON ((-86.17226 21.59549, -87.87637 13.37906, -88.03841 12.59173, -90.31388 13.0327, -90.15951 13.81809, -88.56579 22.01572, -86.17226 21.59549))",Sentinel 1
2023-09-09,2023-09-09,"POLYGON ((-90.45917 0.91395, -91.02497 -1.75424, -93.23787 -1.27352, -92.67312 1.3866, -90.45917 0.91395))",Sentinel 1
2023-09-09,2023-09-09,"POLYGON ((78.44493 25.54508, 78.28586 26.28502, 73.9966 44.34214, 73.31475 46.78814, 76.58013 47.17787, 77.1218 44.73173, 80.77054 26.69585, 80.91368 25.95732, 78.44493 25.54508))",Sentinel 1
2023-09-09,2023-09-09,"POLYGON ((-102.40986 54.57362, -105.39234 45.00082, -109.71814 26.94775, -111.24408 19.75014, -113.6077 20.17435, -112.21767 27.35735, -108.55366 45.39034, -106.26978 54.97291, -102.40986 54.57362))",Sentinel 1
2023-09-09,2023-09-09,"POLYGON ((55.61109 16.72533, 52.60251 30.83486, 48.57817 46.96534, 51.85442 47.35512, 55.19944 31.23773, 57.93228 17.15637, 55.61109 16.72533))",Sentinel 1
2023-09-09,2023-09-09,"POLYGON ((37.0166 -11.9384, 34.57557 -0.86679, 33.40108 4.72666, 35.6248 5.18836, 36.78836 -0.38877, 39.2693 -11.42307, 37.0166 -11.9384))",Sentinel 1
2023-09-09,2023-09-09,"POLYGON ((28.63696 27.56669, 26.87692 35.37888, 21.88502 53.36991, 12.23432 71.09011, 9.20989 73.86844, 17.20955 74.4729, 19.11358 71.62736, 25.63464 53.76658, 29.61418 35.77524, 31.1507 27.97515, 28.63696 27.56669))",Sentinel 1
2023-09-09,2023-09-09,"POLYGON ((-142.93708 70.67508, -151.36904 55.70062, -155.33966 56.10285, -149.67641 71.2043, -142.93708 70.67508))",Sentinel 1
2023-09-09,2023-09-09,"POLYGON ((19.53094 -37.70255, 17.76102 -32.41893, 14.67371 -21.55659, 17.03261 -21.00066, 20.33951 -31.80126, 22.26624 -37.04506, 19.53094 -37.70255))",Sentinel 1
2023-09-09,2023-09-09,"POLYGON ((9.51553 0.90208, 8.9303 3.69427, 5.22804 21.58352, 7.62133 22.00377, 11.15042 4.15888, 11.72952 1.37478, 9.51553 0.90208))",Sentinel 1
2023-09-09,2023-09-09,"POLYGON ((1.63401 37.71576, 1.09222 39.91599, -4.4782 57.86368, -7.59653 64.39547, -2.42228 64.8436, -0.27191 58.27311, 4.00434 40.30771, 4.45648 38.10946, 1.63401 37.71576))",Sentinel 1
